"object","","start","start_sec","end","end_sec","duration","duration_sec",""
"ball","",00:00:24.679,24.679,00:00:27.150,27.15,00:00:02.471,2.471,""
"ball","",00:00:37.370,37.37,00:00:38.900,38.9,00:00:01.530,1.53,""
"ball","",00:00:54.855,54.855,00:00:55.250,55.25,00:00:00.395,0.395,""
"ball","",00:03:30.885,210.885,00:03:31.235,211.235,00:00:00.350,0.35,""
"key","",00:04:06.160,246.16,00:04:06.620,246.62,00:00:00.460,0.46,""
"map","",00:09:44.110,584.11,00:09:44.650,584.65,00:00:00.540,0.54,""
"card","",00:00:51.410,51.41,00:00:53.460,53.46,00:00:02.050,2.05,""
"card","",00:00:55.570,55.57,00:00:59.350,59.35,00:00:03.780,3.78,""
"card","",00:01:01.700,61.7,00:01:02.570,62.57,00:00:00.870,0.87,""
"card","",00:01:29.970,89.97,00:01:40.760,100.76,00:00:10.790,10.79,""
"card","",00:01:43.460,103.46,00:01:44.030,104.03,00:00:00.570,0.57,""
"card","",00:01:47.130,107.13,00:01:52.880,112.88,00:00:05.750,5.75,""
"card","",00:01:55.142,115.142,00:01:56.960,116.96,00:00:01.818,1.818,""
"card","",00:02:02.704,122.704,00:02:13.290,133.29,00:00:10.586,10.586,""
"card","",00:02:15.157,135.157,00:02:29.410,149.41,00:00:14.253,14.253,""
"card","",00:02:33.430,153.43,00:02:34.680,154.68,00:00:01.250,1.25,""
"card","",00:02:38.373,158.373,00:02:40.220,160.22,00:00:01.847,1.847,""
"card","",00:02:44.047,164.047,00:02:51.520,171.52,00:00:07.473,7.473,""
"card","",00:02:53.032,173.032,00:02:53.162,173.162,00:00:00.130,0.13,""
"card","",00:02:55.112,175.112,00:03:05.400,185.4,00:00:10.288,10.288,""
"card","",00:03:11.286,191.286,00:03:28.872,208.872,00:00:17.586,17.586,""
"card","",00:03:32.965,212.965,00:03:38.075,218.075,00:00:05.110,5.11,""
"card","",00:03:40.146,220.146,00:03:41.780,221.78,00:00:01.634,1.634,""
"card","",00:03:42.420,222.42,00:03:43.310,223.31,00:00:00.890,0.89,""
"card","",00:03:46.075,226.075,00:03:55.930,235.93,00:00:09.855,9.855,""
"card","",00:03:57.613,237.613,00:04:05.790,245.79,00:00:08.177,8.177,""
"card","",00:04:06.760,246.76,00:04:08.230,248.23,00:00:01.470,1.47,""
"card","",00:04:11.020,251.02,00:04:20.090,260.09,00:00:09.070,9.07,""
"card","",00:04:23.256,263.256,00:04:24.160,264.16,00:00:00.904,0.904,""
"card","",00:04:24.726,264.726,00:04:32.512,272.512,00:00:07.786,7.786,""
"card","",00:04:37.980,277.98,00:04:51.360,291.36,00:00:13.380,13.38,""
"card","",00:04:52.170,292.17,00:04:53.170,293.17,00:00:01.000,1.0,""
"card","",00:04:53.559,293.559,00:04:54.430,294.43,00:00:00.871,0.871,""
"card","",00:04:55.365,295.365,00:04:56.485,296.485,00:00:01.120,1.12,""
"card","",00:04:57.471,297.471,00:04:57.671,297.671,00:00:00.200,0.2,""
"card","",00:04:59.812,299.812,00:05:10.882,310.882,00:00:11.070,11.07,""
"card","",00:05:12.612,312.612,00:05:13.550,313.55,00:00:00.938,0.938,""
"card","",00:05:16.218,316.218,00:05:24.936,324.936,00:00:08.718,8.718,""
"card","",00:05:27.486,327.486,00:05:27.831,327.831,00:00:00.345,0.345,""
"card","",00:05:28.332,328.332,00:05:28.792,328.792,00:00:00.460,0.46,""
"card","",00:05:30.492,330.492,00:05:31.082,331.082,00:00:00.590,0.59,""
"card","",00:05:36.265,336.265,00:05:51.680,351.68,00:00:15.415,15.415,""
"card","",00:05:54.970,354.97,00:05:55.601,355.601,00:00:00.631,0.631,""
"card","",00:05:57.730,357.73,00:05:58.653,358.653,00:00:00.923,0.923,""
"card","",00:06:00.473,360.473,00:06:02.193,362.193,00:00:01.720,1.72,""
"card","",00:06:03.213,363.213,00:06:04.020,364.02,00:00:00.807,0.807,""
"card","",00:06:16.720,376.72,00:06:17.320,377.32,00:00:00.600,0.6,""
"card","",00:06:17.700,377.7,00:06:26.140,386.14,00:00:08.440,8.44,""
"card","",00:06:27.206,387.206,00:06:35.280,395.28,00:00:08.074,8.074,""
"card","",00:06:35.810,395.81,00:06:37.310,397.31,00:00:01.500,1.5,""
"card","",00:06:41.410,401.41,00:06:45.590,405.59,00:00:04.180,4.18,""
"card","",00:06:51.630,411.63,00:07:14.290,434.29,00:00:22.660,22.66,""
"card","",00:07:15.500,435.5,00:07:18.160,438.16,00:00:02.660,2.66,""
"card","",00:07:20.466,440.466,00:07:33.930,453.93,00:00:13.464,13.464,""
"card","",00:07:41.310,461.31,00:07:42.020,462.02,00:00:00.710,0.71,""
"face","",00:00:00.000,0.0,00:00:02.780,2.78,00:00:02.780,2.78,""
"face","",00:00:03.470,3.47,00:00:05.540,5.54,00:00:02.070,2.07," "
"face","",00:00:07.840,7.84,00:00:09.520,9.52,00:00:01.680,1.68,""
"face","",00:00:12.150,12.15,00:00:12.510,12.51,00:00:00.360,0.36,""
"face","",00:00:14.780,14.78,00:00:15.180,15.18,00:00:00.400,0.4,""
"face","",00:00:23.480,23.48,00:00:24.664,24.664,00:00:01.184,1.184,""
"face","",00:00:27.580,27.58,00:00:28.820,28.82,00:00:01.240,1.24,""
"face","",00:00:32.350,32.35,00:00:32.664,32.664,00:00:00.314,0.314,""
"face","",00:00:33.000,33.0,00:00:34.240,34.24,00:00:01.240,1.24,""
"face","",00:00:36.260,36.26,00:00:36.570,36.57,00:00:00.310,0.31," "
"face","",00:01:07.000,67.0,00:01:07.450,67.45,00:00:00.450,0.45,""
"face","",00:01:08.720,68.72,00:01:09.140,69.14,00:00:00.420,0.42,""
"face","",00:01:41.000,101.0,00:01:43.390,103.39,00:00:02.390,2.39,""
"face","",00:01:44.120,104.12,00:01:44.580,104.58,00:00:00.460,0.46,""
"face","",00:01:53.001,113.001,00:01:55.040,115.04,00:00:02.039,2.039,""
"face","",00:01:57.040,117.04,00:01:59.730,119.73,00:00:02.690,2.69,""
"face","",00:02:00.773,120.773,00:02:01.130,121.13,00:00:00.357,0.357,""
"face","",00:02:29.592,149.592,00:02:32.918,152.918,00:00:03.326,3.326,""
"face","",00:02:34.870,154.87,00:02:38.100,158.1,00:00:03.230,3.23,""
"face","",00:02:41.610,161.61,00:02:43.724,163.724,00:00:02.114,2.114,""
"face","",00:02:51.650,171.65,00:02:52.920,172.92,00:00:01.270,1.27,""
"face","",00:02:53.690,173.69,00:02:53.920,173.92,00:00:00.230,0.23,""
"face","",00:03:07.520,187.52,00:03:08.030,188.03,00:00:00.510,0.51,""
"face","",00:03:08.906,188.906,00:03:09.640,189.64,00:00:00.734,0.734,""
"face","",00:03:09.966,189.966,00:03:10.530,190.53,00:00:00.564,0.564,""
"face","",00:03:28.952,208.952,00:03:29.212,209.212,00:00:00.260,0.26,""
"face","",00:03:30.472,210.472,00:03:30.870,210.87,00:00:00.398,0.398,""
"face","",00:03:31.275,211.275,00:03:31.855,211.855,00:00:00.580,0.58,""
"face","",00:03:38.186,218.186,00:03:38.966,218.966,00:00:00.780,0.78,""
"face","",00:03:41.846,221.846,00:03:42.370,222.37,00:00:00.524,0.524,""
"face","",00:03:43.360,223.36,00:03:44.440,224.44,00:00:01.080,1.08,""
"face","",00:03:45.500,225.5,00:03:45.900,225.9,00:00:00.400,0.4,""
"face","",00:04:08.643,248.643,00:04:09.152,249.152,00:00:00.509,0.509,""
"face","",00:04:20.590,260.59,00:04:21.580,261.58,00:00:00.990,0.99,""
"face","",00:04:22.656,262.656,00:04:22.996,262.996,00:00:00.340,0.34,""
"face","",00:04:24.526,264.526,00:04:24.636,264.636,00:00:00.110,0.11,""
"face","",00:04:33.590,273.59,00:04:36.413,276.413,00:00:02.823,2.823,""
"face","",00:04:37.460,277.46,00:04:37.820,277.82,00:00:00.360,0.36,""
"face","",00:04:54.475,294.475,00:04:55.200,295.2,00:00:00.725,0.725,""
"face","",00:04:56.605,296.605,00:04:57.435,297.435,00:00:00.830,0.83,""
"face","",00:04:57.628,297.628,00:04:57.874,297.874,00:00:00.246,0.246,""
"face","",00:05:10.982,310.982,00:05:12.560,312.56,00:00:01.578,1.578,""
"face","",00:05:13.606,313.606,00:05:14.056,314.056,00:00:00.450,0.45,""
"face","",00:05:24.996,324.996,00:05:27.396,327.396,00:00:02.400,2.4,""
"face","",00:05:27.957,327.957,00:05:28.292,328.292,00:00:00.335,0.335,""
"face","",00:05:28.882,328.882,00:05:29.552,329.552,00:00:00.670,0.67,""
"face","",00:05:32.333,332.333,00:05:34.770,334.77,00:00:02.437,2.437,""
"face","",00:05:52.375,352.375,00:05:54.910,354.91,00:00:02.535,2.535,""
"face","",00:05:56.776,356.776,00:05:57.235,357.235,00:00:00.459,0.459,""
"face","",00:05:58.933,358.933,00:06:00.363,360.363,00:00:01.430,1.43,""
"face","",00:06:02.243,362.243,00:06:02.693,362.693,00:00:00.450,0.45,""
"face","",00:06:04.133,364.133,00:06:08.420,368.42,00:00:04.287,4.287,""
"face","",00:06:10.320,370.32,00:06:13.264,373.264,00:00:02.944,2.944,""
"face","",00:06:14.000,374.0,00:06:14.760,374.76,00:00:00.760,0.76,""
"face","",00:06:46.930,406.93,00:06:47.380,407.38,00:00:00.450,0.45,""
"face","",00:06:48.940,408.94,00:06:49.980,409.98,00:00:01.040,1.04,""
"face","",00:07:34.740,454.74,00:07:36.440,456.44,00:00:01.700,1.7,""
"face","",00:07:39.080,459.08,00:07:39.820,459.82,00:00:00.740,0.74,""
"face","",00:07:52.750,472.75,00:07:53.350,473.35,00:00:00.600,0.6,""
"face","",00:07:55.140,475.14,00:07:55.570,475.57,00:00:00.430,0.43,""
"face","",00:07:56.470,476.47,00:07:56.850,476.85,00:00:00.380,0.38,""
"face","",00:07:58.170,478.17,00:07:58.740,478.74,00:00:00.570,0.57,""
"face","",00:07:58.810,478.81,00:08:00.430,480.43,00:00:01.620,1.62,""
"face","",00:08:02.670,482.67,00:08:03.160,483.16,00:00:00.490,0.49,""
"face","",00:08:03.480,483.48,00:08:04.050,484.05,00:00:00.570,0.57,""
"face","",00:08:04.520,484.52,00:08:06.770,486.77,00:00:02.250,2.25,""
"face","",00:08:07.120,487.12,00:08:07.740,487.74,00:00:00.620,0.62,""
"face","",00:08:08.070,488.07,00:08:09.830,489.83,00:00:01.760,1.76,""
"face","",00:08:11.650,491.65,00:08:12.500,492.5,00:00:00.850,0.85,""
"face","",00:08:14.970,494.97,00:08:15.310,495.31,00:00:00.340,0.34,""
"face","",00:08:15.940,495.94,00:08:16.300,496.3,00:00:00.360,0.36,""
"face","",00:08:20.870,500.87,00:08:21.440,501.44,00:00:00.570,0.57,""
"face","",00:08:22.490,502.49,00:08:26.150,506.15,00:00:03.660,3.66,""
"face","",00:08:29.580,509.58,00:08:33.030,513.03,00:00:03.450,3.45,""
"face","",00:08:33.520,513.52,00:08:36.730,516.73,00:00:03.210,3.21,""
"face","",00:08:42.520,522.52,00:08:45.540,525.54,00:00:03.020,3.02,""
"face","",00:08:51.430,531.43,00:08:52.300,532.3,00:00:00.870,0.87,""
"face","",00:08:53.940,533.94,00:08:54.570,534.57,00:00:00.630,0.63,""
"face","",00:08:55.160,535.16,00:08:55.500,535.5,00:00:00.340,0.34,""
"face","",00:08:56.620,536.62,00:08:57.220,537.22,00:00:00.600,0.6,""
"face","",00:09:01.030,541.03,00:09:01.650,541.65,00:00:00.620,0.62,""
"face","",00:09:06.890,546.89,00:09:07.290,547.29,00:00:00.400,0.4,""
"face","",00:09:10.470,550.47,00:09:10.890,550.89,00:00:00.420,0.42,""
"face","",00:09:11.390,551.39,00:09:11.860,551.86,00:00:00.470,0.47,""
"face","",00:09:12.400,552.4,00:09:19.140,559.14,00:00:06.740,6.74,""
"face","",00:09:19.440,559.44,00:09:21.960,561.96,00:00:02.520,2.52,""
"face","",00:09:24.660,564.66,00:09:25.680,565.68,00:00:01.020,1.02,""
"face","",00:09:34.000,574.0,00:09:34.450,574.45,00:00:00.450,0.45,""
"face","",00:09:37.190,577.19,00:09:37.830,577.83,00:00:00.640,0.64,""
"face","",00:09:41.490,581.49,00:09:42.070,582.07,00:00:00.580,0.58,""
"face","",00:09:42.650,582.65,00:09:43.550,583.55,00:00:00.900,0.9,""
"face","",00:09:46.960,586.96,00:09:49.840,589.84,00:00:02.880,2.88,""
"face","",00:09:51.160,591.16,00:09:51.590,591.59,00:00:00.430,0.43,""
"face","",00:09:54.140,594.14,00:09:54.540,594.54,00:00:00.400,0.4,""
"face","",00:09:55.599,595.599,00:09:56.409,596.409,00:00:00.810,0.81,""
"face","",00:10:06.350,606.35,00:10:07.620,607.62,00:00:01.270,1.27,""
"face","",00:10:07.920,607.92,00:10:10.050,610.05,00:00:02.130,2.13,""
"face","",00:10:13.080,613.08,00:10:16.070,616.07,00:00:02.990,2.99,""
"face","",00:10:18.330,618.33,00:10:18.680,618.68,00:00:00.350,0.35,""
"face","",00:10:19.120,619.12,00:10:21.250,621.25,00:00:02.130,2.13,""
"face","",00:10:22.190,622.19,00:10:24.030,624.03,00:00:01.840,1.84,""
"face","",00:10:24.830,624.83,00:10:26.070,626.07,00:00:01.240,1.24,""
"face","",00:10:29.030,629.03,00:10:34.180,634.18,00:00:05.150,5.15,""
"face","",00:10:37.930,637.93,00:10:40.610,640.61,00:00:02.680,2.68,""
"face","",00:10:42.680,642.68,00:10:46.120,646.12,00:00:03.440,3.44,""
"face","",00:10:47.550,647.55,00:10:49.942,649.942,00:00:02.392,2.392,""
"face","",00:10:51.330,651.33,00:10:52.290,652.29,00:00:00.960,0.96,""
"face","",00:11:00.590,660.59,00:11:02.830,662.83,00:00:02.240,2.24,""
"face","",00:11:03.250,663.25,00:11:04.580,664.58,00:00:01.330,1.33,""
"face","",00:11:13.170,673.17,00:11:19.510,679.51,00:00:06.340,6.34,""
"face","",00:11:19.900,679.9,00:11:20.610,680.61,00:00:00.710,0.71,""
"face","",00:11:20.890,680.89,00:11:22.490,682.49,00:00:01.600,1.6,""
"face","",00:11:25.130,685.13,00:11:26.090,686.09,00:00:00.960,0.96,""
"face","",00:11:28.220,688.22,00:11:28.600,688.6,00:00:00.380,0.38,""
"face","",00:11:29.400,689.4,00:11:30.308,690.308,00:00:00.908,0.908,""
"face","",00:11:31.530,691.53,00:11:33.910,693.91,00:00:02.380,2.38,""
"face","",00:11:34.170,694.17,00:11:38.560,698.56,00:00:04.390,4.39,""
"face","",00:11:43.320,703.32,00:11:44.640,704.64,00:00:01.320,1.32,""
"face","",00:11:45.780,705.78,00:11:46.540,706.54,00:00:00.760,0.76,""
"face","",00:11:47.900,707.9,00:11:48.740,708.74,00:00:00.840,0.84,""
"face","",00:11:52.620,712.62,00:11:53.340,713.34,00:00:00.720,0.72,""
"face","",00:11:56.570,716.57,00:11:58.890,718.89,00:00:02.320,2.32,""
"face","",00:11:58.940,718.94,00:11:59.430,719.43,00:00:00.490,0.49,""
"face","",00:12:00.720,720.72,00:12:02.340,722.34,00:00:01.620,1.62,""
"face","",00:12:03.160,723.16,00:12:03.750,723.75,00:00:00.590,0.59,""
"face","",00:12:05.870,725.87,00:12:06.770,726.77,00:00:00.900,0.9,""
"face","",00:12:08.160,728.16,00:12:11.250,731.25,00:00:03.090,3.09,""
"face","",00:12:11.610,731.61,00:12:15.280,735.28,00:00:03.670,3.67,""
"face","",00:12:15.790,735.79,00:12:16.720,736.72,00:00:00.930,0.93,""
"face","",00:12:16.850,736.85,00:12:17.520,737.52,00:00:00.670,0.67,""
"face","",00:12:17.890,737.89,00:12:18.250,738.25,00:00:00.360,0.36,""
"face","",00:12:18.340,738.34,00:12:19.170,739.17,00:00:00.830,0.83,""
"face","",00:12:21.170,741.17,00:12:25.140,745.14,00:00:03.970,3.97,""
"face","",00:12:27.640,747.64,00:12:28.960,748.96,00:00:01.320,1.32,""
"face","",00:12:33.300,753.3,00:12:34.060,754.06,00:00:00.760,0.76,""
