object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:01.5,1.513,00:02.6,2.599,00:01.1,1.086
dice,,00:18.5,18.493,00:19.6,19.619,00:01.1,1.126
dice,,00:37.4,37.422,00:39.0,39.015,00:01.6,1.593
dice,,00:53.7,53.668,00:55.2,55.209,00:01.5,1.541
dice,,01:13.9,73.927,01:16.8,76.81,00:02.9,2.883
dice,,01:59.7,119.651,02:02.6,122.636,00:03.0,2.985
dice,,02:30.9,150.882,02:35.8,155.808,00:04.9,4.926
dice,,03:05.9,185.853,03:07.0,186.957,00:01.1,1.104
dice,,03:34.1,214.126,03:35.9,215.91,00:01.8,1.784
dice,,03:39.3,219.275,03:42.7,222.749,00:03.5,3.474
key,,00:04.7,4.688,00:06.0,6.024,00:01.3,1.336
key,,00:20.8,20.815,00:22.4,22.365,00:01.6,1.55
key,,00:34.9,34.853,00:36.6,36.568,00:01.7,1.715
key,,00:56.9,56.907,00:58.4,58.389,00:01.5,1.482
key,,01:17.0,76.951,01:19.0,78.967,00:02.0,2.016
key,,01:40.5,100.547,01:43.3,103.26,00:02.7,2.713
key,,02:05.3,125.306,02:05.6,125.636,00:00.3,0.33
key,,02:06.6,126.563,02:08.6,128.621,00:02.1,2.058
key,,02:37.0,156.966,02:39.5,159.468,00:02.5,2.502
key,,03:09.7,189.68,03:11.3,191.28,00:01.6,1.6
key,,03:50.1,230.122,03:50.7,230.702,00:00.6,0.58
map,,00:07.3,7.325,00:09.0,8.991,00:01.7,1.666
map,,00:23.7,23.749,00:25.3,25.332,00:01.6,1.583
map,,00:40.1,40.076,00:42.2,42.233,00:02.2,2.157
map,,00:59.3,59.317,01:02.4,62.39,00:03.1,3.073
map,,01:21.2,81.159,01:24.1,84.088,00:02.9,2.929
map,,01:44.7,104.708,01:46.1,106.068,00:01.4,1.36
map,,01:46.5,106.457,01:47.6,107.63,00:01.2,1.173
map,,02:09.1,129.057,02:10.9,130.874,00:01.8,1.817
map,,02:11.2,131.176,02:12.2,132.237,00:01.1,1.061
map,,02:13.6,133.555,02:14.2,134.173,00:00.6,0.618
map,,02:41.4,161.44,02:43.5,163.454,00:02.0,2.014
map,,03:14.4,194.355,03:16.0,196.043,00:01.7,1.688
map,,03:16.7,196.68,03:17.6,197.61,00:00.9,0.93
map,,03:56.9,236.869,03:59.6,239.592,00:02.7,2.723
ball,,00:10.3,10.255,00:11.8,11.757,00:01.5,1.502
ball,,00:43.5,43.515,00:45.5,45.531,00:02.0,2.016
ball,,01:03.9,63.921,01:05.7,65.72,00:01.8,1.799
ball,,01:25.5,85.478,01:28.2,88.182,00:02.7,2.704
ball,,01:49.6,109.57,01:52.1,112.128,00:02.6,2.558
ball,,01:56.9,116.869,01:57.6,117.587,00:00.7,0.718
ball,,02:15.3,135.32,02:15.8,135.786,00:00.5,0.466
ball,,02:16.7,136.691,02:17.7,137.663,00:01.0,0.972
ball,,02:17.9,137.898,02:18.2,138.198,00:00.3,0.3
ball,,02:18.5,138.466,02:18.9,138.927,00:00.5,0.461
ball,,02:24.0,144.048,02:25.1,145.083,00:01.0,1.035
ball,,02:25.4,145.351,02:27.7,147.691,00:02.3,2.34
ball,,02:27.9,147.926,02:28.2,148.16,00:00.2,0.234
ball,,02:28.4,148.428,02:28.7,148.663,00:00.2,0.235
ball,,02:28.9,148.931,02:29.1,149.133,00:00.2,0.202
ball,,02:29.4,149.401,02:30.1,150.105,00:00.7,0.704
ball,,02:45.6,165.64,02:46.9,166.921,00:01.3,1.281
ball,,02:47.1,167.122,02:48.4,168.362,00:01.2,1.24
ball,,02:48.6,168.613,02:49.4,169.418,00:00.8,0.805
ball,,02:49.6,169.586,02:49.6,169.619,00:00.0,0.033
ball,,02:49.9,169.921,02:50.0,170.022,00:00.1,0.101
ball,,02:50.3,170.29,02:50.4,170.424,00:00.1,0.134
ball,,02:52.5,172.538,02:52.6,172.595,00:00.1,0.057
ball,,02:54.8,174.81,02:55.5,175.48,00:00.7,0.67
ball,,02:56.3,176.321,02:56.7,176.723,00:00.4,0.402
ball,,02:57.1,177.092,02:57.2,177.159,00:00.1,0.067
ball,,02:59.7,179.651,03:01.9,181.853,00:02.2,2.202
ball,,03:08.5,188.482,03:08.9,188.907,00:00.4,0.425
ball,,03:12.9,192.867,03:13.8,193.815,00:00.9,0.948
ball,,03:18.1,198.089,03:19.6,199.63,00:01.5,1.541
ball,,03:19.9,199.917,03:20.0,200.018,00:00.1,0.101
ball,,03:45.1,225.147,03:47.0,226.971,00:01.8,1.824
ball,,03:47.5,227.507,03:48.2,228.25,00:00.7,0.743
ball,,03:48.8,228.821,03:49.1,229.123,00:00.3,0.302
ball,,04:00.1,240.139,04:01.2,241.224,00:01.1,1.085
ball,,04:01.5,241.458,04:01.7,241.66,00:00.2,0.202
card,,00:13.6,13.603,00:15.2,15.164,00:01.6,1.561
card,,00:29.1,29.096,00:30.6,30.58,00:01.5,1.484
card,,00:47.3,47.281,00:49.2,49.191,00:01.9,1.91
card,,01:08.6,68.609,01:10.3,70.323,00:01.7,1.714
card,,01:29.3,89.304,01:30.3,90.324,00:01.0,1.02
card,,01:37.1,97.12,01:40.3,100.27,00:03.2,3.15
card,,01:53.5,113.47,01:55.0,114.969,00:01.5,1.499
card,,02:20.2,140.244,02:23.4,143.448,00:03.2,3.204
card,,03:02.5,182.493,03:03.4,183.382,00:00.9,0.889
card,,03:21.7,201.67,03:23.5,203.472,00:01.8,1.802
face,,00:03.0,2.971,00:04.0,4.01,00:01.0,1.039
