"object","","start","start_sec","end","end_sec","duration","duration_sec",""
"card","",00:01:07.881,67.881,00:01:15.421,75.421,00:00:07.540,7.54,""
"card","",00:04:08.107,248.107,00:04:09.664,249.664,00:00:01.557,1.557,""
"card","",00:04:09.955,249.955,00:04:11.461,251.461,00:00:01.506,1.506,""
"card","",00:04:11.684,251.684,00:04:13.138,253.138,00:00:01.454,1.454,""
"card","",00:04:22.085,262.085,00:04:23.383,263.383,00:00:01.298,1.298,""
"card","",00:04:23.589,263.589,00:04:23.828,263.828,00:00:00.239,0.239,""
"card","",00:04:44.634,284.634,00:04:48.279,288.279,00:00:03.645,3.645,""
"card","",00:04:56.907,296.907,00:04:59.670,299.67,00:00:02.763,2.763,""
"card","",00:06:39.337,399.337,00:06:55.001,415.001,00:00:15.664,15.664,""
"card","",00:07:38.623,458.623,00:07:48.327,468.327,00:00:09.704,9.704,""
"card","",00:08:06.565,486.565,00:08:10.476,490.476,00:00:03.911,3.911,""
"dice","",00:00:00.532,0.532,00:00:00.721,0.721,00:00:00.189,0.189,""
"dice","",00:03:09.024,189.024,00:03:13.005,193.005,00:00:03.981,3.981,""
"dice","",00:03:13.367,193.367,00:03:14.961,194.961,00:00:01.594,1.594,""
"dice","",00:05:00.142,300.142,00:05:01.727,301.727,00:00:01.585,1.585,""
"dice","",00:05:03.302,303.302,00:05:04.697,304.697,00:00:01.395,1.395,""
"dice","",00:05:08.087,308.087,00:05:10.183,310.183,00:00:02.096,2.096,""
"dice","",00:05:54.963,354.963,00:05:56.349,356.349,00:00:01.386,1.386,""
"dice","",00:06:14.211,374.211,00:06:14.660,374.66,00:00:00.449,0.449,""
"dice","",00:06:32.050,392.05,00:06:33.192,393.192,00:00:01.142,1.142,""
"dice","",00:07:49.876,469.876,00:07:52.888,472.888,00:00:03.012,3.012,""
"dice","",00:07:59.367,479.367,00:08:00.695,480.695,00:00:01.328,1.328,""
"key","",00:00:23.448,23.448,00:00:23.842,23.842,00:00:00.394,0.394,""
"key","",00:03:15.023,195.023,00:03:17.334,197.334,00:00:02.311,2.311,""
"key","",00:04:15.481,255.481,00:04:16.354,256.354,00:00:00.873,0.873,""
"key","",00:04:17.053,257.053,00:04:20.117,260.117,00:00:03.064,3.064,""
"key","",00:05:01.786,301.786,00:05:03.216,303.216,00:00:01.430,1.43,""
"key","",00:05:10.243,310.243,00:05:11.293,311.293,00:00:01.050,1.05,""
"key","",00:05:43.016,343.016,00:05:44.963,344.963,00:00:01.947,1.947,""
"key","",00:06:13.389,373.389,00:06:13.936,373.936,00:00:00.547,0.547,""
"key","",00:06:19.071,379.071,00:06:19.842,379.842,00:00:00.771,0.771,""
"key","",00:06:25.943,385.943,00:06:26.456,386.456,00:00:00.513,0.513,""
"key","",00:06:56.119,416.119,00:07:00.709,420.709,00:00:04.590,4.59,""
"key","",00:07:03.231,423.231,00:07:04.120,424.12,00:00:00.889,0.889,""
"key","",00:07:21.581,441.581,00:07:23.100,443.1,00:00:01.519,1.519,""
"key","",00:07:29.428,449.428,00:07:31.999,451.999,00:00:02.571,2.571,""
"key","",00:07:48.704,468.704,00:07:49.791,469.791,00:00:01.087,1.087,""
"key","",00:07:57.850,477.85,00:07:59.056,479.056,00:00:01.206,1.206,""
"map","",00:01:28.780,88.78,00:01:32.340,92.34,00:00:03.560,3.56,""
"map","",00:01:40.592,100.592,00:01:41.565,101.565,00:00:00.973,0.973,""
"map","",00:01:44.870,104.87,00:01:45.674,105.674,00:00:00.804,0.804,""
"map","",00:03:17.370,197.37,00:03:19.919,199.919,00:00:02.549,2.549,""
"map","",00:05:11.433,311.433,00:05:13.025,313.025,00:00:01.592,1.592,""
"map","",00:05:14.314,314.314,00:05:19.960,319.96,00:00:05.646,5.646,""
"map","",00:05:59.191,359.191,00:06:00.248,360.248,00:00:01.057,1.057,""
"map","",00:06:06.047,366.047,00:06:12.885,372.885,00:00:06.838,6.838,""
"map","",00:06:26.904,386.904,00:06:29.332,389.332,00:00:02.428,2.428,""
"map","",00:07:01.148,421.148,00:07:02.677,422.677,00:00:01.529,1.529,""
"map","",00:07:23.758,443.758,00:07:28.341,448.341,00:00:04.583,4.583,""
"map","",00:07:53.250,473.25,00:07:57.747,477.747,00:00:04.497,4.497,""
"face","",00:00:03.407,3.407,00:00:04.947,4.947,00:00:01.540,1.54,""
"face","",00:00:05.889,5.889,00:00:08.490,8.49,00:00:02.601,2.601,""
"face","",00:00:16.243,16.243,00:00:17.834,17.834,00:00:01.591,1.591,""
"face","",00:00:18.010,18.01,00:00:18.968,18.968,00:00:00.958,0.958,""
"face","",00:00:20.214,20.214,00:00:20.624,20.624,00:00:00.410,0.41,""
"face","",00:00:26.032,26.032,00:00:26.717,26.717,00:00:00.685,0.685,""
"face","",00:00:26.871,26.871,00:00:28.445,28.445,00:00:01.574,1.574,""
"face","",00:00:58.966,58.966,00:01:00.882,60.882,00:00:01.916,1.916,""
"face","",00:01:04.580,64.58,00:01:05.145,65.145,00:00:00.565,0.565,""
"face","",00:02:00.737,120.737,00:02:02.158,122.158,00:00:01.421,1.421,""
"face","",00:02:26.650,146.65,00:02:27.237,147.237,00:00:00.587,0.587,""
"face","",00:03:24.594,204.594,00:03:24.919,204.919,00:00:00.325,0.325,""
"face","",00:03:25.467,205.467,00:03:25.775,205.775,00:00:00.308,0.308,""
"face","",00:04:51.017,291.017,00:04:53.721,293.721,00:00:02.704,2.704,""
"face","",00:04:53.987,293.987,00:04:54.295,294.295,00:00:00.308,0.308,""
"face","",00:06:02.789,362.789,00:06:03.729,363.729,00:00:00.940,0.94,""
"face","",00:06:26.508,386.508,00:06:26.875,386.875,00:00:00.367,0.367,""
"face","",00:07:04.965,424.965,00:07:05.731,425.731,00:00:00.766,0.766,""
"face","",00:07:07.646,427.646,00:07:12.149,432.149,00:00:04.503,4.503,""
"face","",00:07:36.299,456.299,00:07:37.928,457.928,00:00:01.629,1.629,""
"face","",00:08:02.427,482.427,00:08:02.736,482.736,00:00:00.309,0.309,""
