"object","","start","start_sec","end","end_sec","duration","duration_sec",""
"ball","",00:02:25.918,145.918,00:02:26.515,146.515,00:00:00.597,0.597,""
"ball","",00:05:30.890,330.89,00:05:33.281,333.281,00:00:02.391,2.391,""
"card","",00:02:09.072,129.072,00:02:11.077,131.077,00:00:02.005,2.005,""
"card","",00:03:03.995,183.995,00:03:34.837,214.837,00:00:30.842,30.842,""
"card","",00:03:35.821,215.821,00:03:39.479,219.479,00:00:03.658,3.658,""
"card","",00:03:40.815,220.815,00:03:47.040,227.04,00:00:06.225,6.225,""
"card","",00:03:51.225,231.225,00:04:02.900,242.9,00:00:11.675,11.675,""
"card","",00:04:06.813,246.813,00:04:18.629,258.629,00:00:11.816,11.816,""
"card","",00:04:19.227,259.227,00:04:19.966,259.966,00:00:00.739,0.739,""
"card","",00:04:21.372,261.372,00:04:22.181,262.181,00:00:00.809,0.809,""
"card","",00:04:25.725,265.725,00:05:24.068,324.068,00:00:58.343,58.343,""
"card","",00:05:24.771,324.771,00:05:29.448,329.448,00:00:04.677,4.677,""
"card","",00:05:33.879,333.879,00:05:46.223,346.223,00:00:12.344,12.344,""
"card","",00:05:52.694,352.694,00:06:34.343,394.343,00:00:41.649,41.649,""
"dice","",00:01:13.116,73.116,00:01:15.578,75.578,00:00:02.462,2.462,""
"dice","",00:01:54.188,114.188,00:01:56.407,116.407,00:00:02.219,2.219,""
"map","",00:01:21.134,81.134,00:01:23.139,83.139,00:00:02.005,2.005,""
"map","",00:01:26.585,86.585,00:01:29.012,89.012,00:00:02.427,2.427,""
"map","",00:05:46.926,346.926,00:05:47.454,347.454,00:00:00.528,0.528,""
"face","",00:01:04.535,64.535,00:01:04.746,64.746,00:00:00.211,0.211,""
"face","",00:01:29.434,89.434,00:01:31.825,91.825,00:00:02.391,2.391,""
"face","",00:01:40.160,100.16,00:01:42.727,102.727,00:00:02.567,2.567,""
"face","",00:01:53.699,113.699,00:01:53.946,113.946,00:00:00.247,0.247,""
"face","",00:02:13.539,133.539,00:02:15.297,135.297,00:00:01.758,1.758,""
"face","",00:02:17.864,137.864,00:02:20.642,140.642,00:00:02.778,2.778,""
"face","",00:02:22.084,142.084,00:02:22.788,142.788,00:00:00.704,0.704,""
"face","",00:02:23.069,143.069,00:02:23.702,143.702,00:00:00.633,0.633,""
"face","",00:02:26.902,146.902,00:02:27.324,147.324,00:00:00.422,0.422,""
"face","",00:02:28.836,148.836,00:02:33.410,153.41,00:00:04.574,4.574,""
"face","",00:02:34.700,154.7,00:02:39.448,159.448,00:00:04.748,4.748,""
"face","",00:02:40.573,160.573,00:02:41.945,161.945,00:00:01.372,1.372,""
"face","",00:02:42.929,162.929,00:02:44.231,164.231,00:00:01.302,1.302,""
"face","",00:02:44.899,164.899,00:02:47.431,167.431,00:00:02.532,2.532,""
"face","",00:02:48.451,168.451,00:02:49.013,169.013,00:00:00.562,0.562,""
"face","",00:02:49.400,169.4,00:02:51.194,171.194,00:00:01.794,1.794,""
"face","",00:02:53.761,173.761,00:02:55.203,175.203,00:00:01.442,1.442,""
"face","",00:02:56.082,176.082,00:02:58.860,178.86,00:00:02.778,2.778,""
"face","",00:03:40.217,220.217,00:03:40.569,220.569,00:00:00.352,0.352,""
"face","",00:05:46.293,346.293,00:05:46.715,346.715,00:00:00.422,0.422,""
"face","",00:06:35.503,395.503,00:06:35.890,395.89,00:00:00.387,0.387,""
"face","",00:06:39.125,399.125,00:06:39.829,399.829,00:00:00.704,0.704,""
