"('map', 0.9976542592048645, (1089.2655029296875, 84.47116088867188, 209.57933044433594, 172.2132568359375))","('key', 0.9756119847297668, (725.0006103515625, 13.645655632019043, 114.62969970703125, 32.43254470825195))","('ball', 0.9607909321784973, (446.07965087890625, 591.7627563476562, 111.41732788085938, 125.5411376953125))","('dice', 0.7710615992546082, (432.4324951171875, 29.40015983581543, 57.26073455810547, 60.07642364501953))","('face', 0.5437237620353699, (300.43133544921875, 232.8497314453125, 84.9580078125, 98.11527252197266))"
"('map', 0.9985635876655579, (1089.4144287109375, 84.77886199951172, 210.0916290283203, 169.7711639404297))","('key', 0.9707155823707581, (725.7970581054688, 14.347702026367188, 114.82575988769531, 34.23051071166992))","('ball', 0.9577342867851257, (445.7116394042969, 592.3615112304688, 113.2572021484375, 125.35737609863281))","('dice', 0.7895376086235046, (433.7449645996094, 29.463844299316406, 58.84805679321289, 61.276283264160156))","('face', 0.553420901298523, (300.9007568359375, 231.38784790039062, 83.21312713623047, 97.71187591552734))"
"('map', 0.9985366463661194, (1088.6094970703125, 85.28810119628906, 204.92445373535156, 172.1291961669922))","('ball', 0.9625125527381897, (445.84112548828125, 592.73876953125, 112.62107849121094, 130.28741455078125))","('key', 0.9569379687309265, (723.7944946289062, 15.781558990478516, 116.89056396484375, 33.38861846923828))","('dice', 0.8029025197029114, (433.8552551269531, 29.46060562133789, 57.9923095703125, 61.14178466796875))","('face', 0.5991631746292114, (302.3534851074219, 231.59954833984375, 82.6664047241211, 97.09656524658203))"
"('map', 0.9987165927886963, (1089.3223876953125, 85.23141479492188, 206.83444213867188, 175.20303344726562))","('ball', 0.9779501557350159, (446.00885009765625, 595.3947143554688, 114.76306915283203, 123.41388702392578))","('key', 0.9542673826217651, (725.833740234375, 15.953591346740723, 116.29280090332031, 34.51583480834961))","('dice', 0.9045068025588989, (433.5138244628906, 29.894527435302734, 58.21928405761719, 60.41471481323242))","('face', 0.7683253288269043, (302.9772033691406, 231.86370849609375, 80.73173522949219, 99.42645263671875))"
"('map', 0.9981260895729065, (1088.8170166015625, 87.36448669433594, 209.24700927734375, 179.97193908691406))","('ball', 0.9819313883781433, (446.732421875, 598.4210815429688, 116.25679779052734, 123.11295318603516))","('key', 0.9214591383934021, (725.388671875, 16.64106559753418, 119.31248474121094, 36.867713928222656))","('dice', 0.8839462399482727, (436.1026611328125, 30.855070114135742, 59.95016098022461, 58.114444732666016))","('face', 0.8473880887031555, (303.0907897949219, 232.92495727539062, 81.1467056274414, 103.62088775634766))"
"('map', 0.9981023669242859, (1088.340576171875, 89.03218078613281, 201.8952178955078, 179.18280029296875))","('key', 0.978435754776001, (726.5355834960938, 18.83984375, 114.07134246826172, 39.71293640136719))","('ball', 0.9558033347129822, (447.0626220703125, 601.4873046875, 115.46654510498047, 124.44258117675781))","('dice', 0.9149119257926941, (436.60150146484375, 32.90496826171875, 63.676544189453125, 62.59172439575195))","('face', 0.8883371949195862, (303.6257019042969, 236.6355743408203, 82.48497009277344, 105.18846130371094))"
"('map', 0.9993813633918762, (1088.8914794921875, 94.10584259033203, 205.60098266601562, 187.55287170410156))","('dice', 0.9728178381919861, (437.6608581542969, 34.66307067871094, 62.14076614379883, 74.27508544921875))","('key', 0.9709702134132385, (729.9974975585938, 21.72602653503418, 120.48335266113281, 42.54729080200195))","('ball', 0.9145781397819519, (448.33074951171875, 605.151611328125, 111.31112670898438, 124.47297668457031))","('face', 0.883609414100647, (304.54119873046875, 239.82040405273438, 81.84307098388672, 103.93759155273438))"
"('map', 0.9978776574134827, (1088.77490234375, 97.5169906616211, 206.00294494628906, 192.89324951171875))","('dice', 0.9637846946716309, (438.43548583984375, 38.04518508911133, 60.58283233642578, 81.25719451904297))","('ball', 0.9636338949203491, (449.70819091796875, 620.801025390625, 115.08660125732422, 128.83241271972656))","('key', 0.8931260108947754, (726.8243408203125, 29.870887756347656, 124.18656158447266, 49.601844787597656))","('face', 0.7898433804512024, (307.4798278808594, 243.47933959960938, 78.7269287109375, 97.46171569824219))"
"('map', 0.9979004859924316, (1088.98828125, 102.3935775756836, 207.18824768066406, 206.13746643066406))","('ball', 0.9867228269577026, (451.76275634765625, 628.2410888671875, 115.70464324951172, 126.06326293945312))","('face', 0.9486933946609497, (306.8584289550781, 254.82833862304688, 84.48228454589844, 107.90663146972656))","('key', 0.9093447923660278, (732.0516967773438, 35.97184371948242, 121.2801742553711, 50.09778594970703))","('dice', 0.8972874879837036, (438.2326965332031, 44.61510467529297, 62.99686050415039, 94.2593994140625))"
"('map', 0.9972735643386841, (1088.3114013671875, 105.33432006835938, 204.49964904785156, 211.4384307861328))","('ball', 0.9776235222816467, (451.56207275390625, 632.9413452148438, 113.81916046142578, 127.0830078125))","('dice', 0.933025062084198, (439.6042175292969, 47.45185089111328, 65.28285217285156, 101.80913543701172))","('key', 0.8985802531242371, (730.4629516601562, 43.04045486450195, 131.26467895507812, 60.308868408203125))","('face', 0.8973057270050049, (308.47705078125, 265.16705322265625, 84.75083923339844, 106.01346588134766))"
