"('dice', 0.9812245965003967, (598.7719116210938, 49.624290466308594, 61.29762649536133, 101.20816040039062))","('map', 0.9728197455406189, (1146.8460693359375, 195.95864868164062, 185.40521240234375, 170.6646270751953))","('key', 0.7168493270874023, (850.34619140625, 91.56768798828125, 89.31729125976562, 48.7762451171875))","('ball', 0.5760365724563599, (853.1793823242188, 699.2428588867188, 132.35739135742188, 30.319150924682617))"
"('dice', 0.9794782996177673, (598.9768676757812, 50.58988952636719, 60.40625762939453, 102.06422424316406))","('map', 0.9736455678939819, (1147.4525146484375, 199.43603515625, 184.59222412109375, 170.1238250732422))","('key', 0.7498375177383423, (851.64599609375, 91.83443450927734, 90.3370590209961, 49.847679138183594))","('ball', 0.6163249611854553, (853.9375, 699.5414428710938, 135.29782104492188, 29.573457717895508))"
"('map', 0.9820820093154907, (1151.000732421875, 198.347900390625, 184.00729370117188, 169.60543823242188))","('dice', 0.9654173851013184, (600.4614868164062, 50.34507751464844, 62.78190612792969, 103.28623962402344))","('key', 0.7623748183250427, (855.5467529296875, 92.46573638916016, 89.28459167480469, 50.192665100097656))","('ball', 0.4494234621524811, (854.4631958007812, 700.7382202148438, 134.31048583984375, 28.853145599365234))"
"('map', 0.9686166644096375, (1151.52294921875, 200.1774444580078, 185.90379333496094, 170.22769165039062))","('dice', 0.950814962387085, (602.5203247070312, 51.696414947509766, 60.76123809814453, 104.1153793334961))","('key', 0.7269948124885559, (857.3870239257812, 93.78988647460938, 86.86569213867188, 51.827056884765625))","('ball', 0.39958104491233826, (855.8443603515625, 701.4168090820312, 137.0933380126953, 27.97908592224121))"
"('map', 0.9888129830360413, (1153.2755126953125, 203.8277130126953, 181.06610107421875, 173.66990661621094))","('dice', 0.9640974402427673, (603.7960205078125, 52.49907684326172, 59.46974182128906, 108.88578796386719))","('key', 0.7570109367370605, (859.1305541992188, 94.7615737915039, 83.82904815673828, 50.703792572021484))","('ball', 0.4239536225795746, (856.8115234375, 701.9219970703125, 133.13519287109375, 27.525142669677734))"
"('map', 0.9885454177856445, (1156.1973876953125, 203.83358764648438, 181.95236206054688, 172.82398986816406))","('dice', 0.9225224852561951, (609.2239990234375, 58.09358596801758, 65.76275634765625, 109.16527557373047))","('key', 0.7121405601501465, (862.2799072265625, 97.23528289794922, 83.5481185913086, 50.42603302001953))","('ball', 0.5285561680793762, (858.264892578125, 703.3463745117188, 134.0484161376953, 27.151382446289062))"
"('map', 0.9856783747673035, (1159.6129150390625, 207.89845275878906, 177.2174835205078, 169.29518127441406))","('dice', 0.9461948871612549, (611.7933349609375, 58.87479782104492, 64.74319458007812, 114.02777862548828))","('key', 0.8043774962425232, (864.6070556640625, 98.92472839355469, 82.1048583984375, 47.73949432373047))","('ball', 0.5550914406776428, (858.748779296875, 704.5155029296875, 129.29132080078125, 28.0543270111084))"
"('map', 0.9888090491294861, (1161.498291015625, 208.167724609375, 172.26904296875, 171.0609130859375))","('dice', 0.9763708114624023, (615.1210327148438, 61.03030776977539, 65.66648864746094, 113.29243469238281))","('key', 0.6228511333465576, (864.4368896484375, 99.8748779296875, 84.61554718017578, 49.13780212402344))","('ball', 0.5003688931465149, (859.08447265625, 704.333251953125, 130.3690185546875, 27.25099754333496))"
"('map', 0.988631010055542, (1160.65966796875, 208.84877014160156, 176.44041442871094, 171.7513885498047))","('dice', 0.9681196808815002, (615.2788696289062, 64.21617889404297, 67.05980682373047, 111.41352081298828))","('key', 0.7510949373245239, (866.092041015625, 102.69122314453125, 86.80209350585938, 49.37530517578125))","('ball', 0.4449205994606018, (860.730712890625, 706.088623046875, 127.50457000732422, 25.996734619140625))"
"('map', 0.9872394800186157, (1162.2816162109375, 208.37461853027344, 177.43394470214844, 172.27633666992188))","('dice', 0.9669466018676758, (616.2488403320312, 65.77952575683594, 65.31473541259766, 110.84378051757812))","('key', 0.6354086399078369, (864.9393310546875, 102.46023559570312, 87.64857482910156, 50.930213928222656))","('ball', 0.5071821808815002, (861.3646850585938, 706.2140502929688, 129.03904724121094, 25.172306060791016))","('face', 0.36919233202934265, (599.4970703125, 314.25201416015625, 99.77560424804688, 128.5496368408203))"
"('map', 0.9921603798866272, (1161.498291015625, 209.30148315429688, 179.83255004882812, 171.6256561279297))","('dice', 0.9777663946151733, (617.1805419921875, 67.15764617919922, 69.59510040283203, 111.87689208984375))","('key', 0.6509808897972107, (868.6693725585938, 105.2732162475586, 93.87835693359375, 51.65021514892578))","('ball', 0.4899057447910309, (863.9141235351562, 707.076416015625, 134.83615112304688, 22.752389907836914))","('face', 0.25744006037712097, (603.1246337890625, 315.0896911621094, 100.76705169677734, 131.2451629638672))"
"('map', 0.9913284182548523, (1165.43359375, 210.77694702148438, 176.22515869140625, 166.36558532714844))","('dice', 0.977893590927124, (619.4201049804688, 70.96947479248047, 64.74319458007812, 111.95886993408203))","('key', 0.4446513056755066, (869.0473022460938, 105.8823013305664, 87.48289489746094, 49.65031051635742))","('ball', 0.38088083267211914, (868.9599609375, 708.1207275390625, 128.19125366210938, 21.646970748901367))","('face', 0.35833045840263367, (601.5863647460938, 318.1890869140625, 99.65388488769531, 138.89353942871094))"
"('map', 0.9829071164131165, (1168.809326171875, 212.32530212402344, 180.58047485351562, 168.7587127685547))","('dice', 0.9595130681991577, (625.3383178710938, 75.28436279296875, 65.21913146972656, 109.6594467163086))","('key', 0.5283483862876892, (878.2494506835938, 115.93248748779297, 84.1263427734375, 43.7347526550293))","('ball', 0.31327712535858154, (874.715087890625, 707.9598388671875, 129.54409790039062, 21.2697811126709))","('face', 0.2589902877807617, (601.9365844726562, 319.6009521484375, 101.54498291015625, 129.8428497314453))"
"('map', 0.9692363142967224, (1172.421142578125, 214.55479431152344, 178.82559204101562, 177.831787109375))","('dice', 0.857113242149353, (629.6980590820312, 78.74702453613281, 65.4743881225586, 115.5128173828125))","('key', 0.7193666100502014, (881.7371826171875, 117.80130004882812, 80.22615051269531, 48.4025764465332))","('face', 0.28046369552612305, (608.9991455078125, 338.489013671875, 110.26472473144531, 126.71124267578125))"
"('map', 0.9054537415504456, (1173.94091796875, 216.82278442382812, 180.53640747070312, 174.2645263671875))","('dice', 0.771088719367981, (636.1502685546875, 87.08223724365234, 69.93575286865234, 113.04376983642578))","('key', 0.6199070811271667, (893.0382690429688, 123.22501373291016, 82.9637451171875, 48.83284378051758))"
"('map', 0.9394251108169556, (1188.6976318359375, 229.80926513671875, 157.89010620117188, 178.74586486816406))","('dice', 0.9363502860069275, (646.4868774414062, 93.03501892089844, 71.83935546875, 114.23676300048828))","('key', 0.4261508285999298, (897.6574096679688, 128.93167114257812, 89.84217834472656, 48.90143966674805))"
"('dice', 0.9755431413650513, (649.2222900390625, 100.1103744506836, 64.14533233642578, 109.17859649658203))","('map', 0.9600303173065186, (1188.6845703125, 231.91432189941406, 156.66139221191406, 177.67990112304688))","('key', 0.3283788859844208, (903.6774291992188, 142.0706787109375, 85.91133117675781, 46.09945297241211))"
"('dice', 0.9846982955932617, (650.1958618164062, 104.14128112792969, 62.84324645996094, 114.71186828613281))","('map', 0.9226945638656616, (1191.1708984375, 234.62228393554688, 158.12155151367188, 178.2664794921875))","('key', 0.590599536895752, (903.4630737304688, 143.2232208251953, 88.5789566040039, 47.815311431884766))"
"('map', 0.9488638639450073, (1191.674560546875, 237.8773651123047, 159.7512664794922, 172.5288848876953))","('dice', 0.9464704990386963, (651.759765625, 107.22530364990234, 64.14533233642578, 110.74909973144531))","('key', 0.761491060256958, (906.126220703125, 147.24539184570312, 89.69971466064453, 48.87160110473633))"
"('map', 0.9686122536659241, (1193.1258544921875, 241.72157287597656, 160.41566467285156, 167.9982147216797))","('dice', 0.9679335951805115, (654.5474853515625, 115.72905731201172, 67.28941345214844, 110.14240264892578))","('key', 0.7297343015670776, (907.174560546875, 149.7833709716797, 88.73046875, 51.36726760864258))","('face', 0.2821260690689087, (624.323974609375, 367.1797790527344, 108.46747589111328, 126.5566635131836))"
"('dice', 0.9870107173919678, (654.642822265625, 121.56818389892578, 66.34329223632812, 115.71040344238281))","('map', 0.9533919095993042, (1194.42236328125, 244.16912841796875, 159.05076599121094, 178.2664794921875))","('key', 0.4680824279785156, (905.311767578125, 156.1424102783203, 89.82024383544922, 52.029903411865234))"
"('dice', 0.984695553779602, (655.5679321289062, 129.0238494873047, 61.68796157836914, 115.54102325439453))","('map', 0.9764494299888611, (1194.2052001953125, 248.39822387695312, 160.2982177734375, 176.94398498535156))","('key', 0.2734982371330261, (905.2774658203125, 159.37889099121094, 88.49250030517578, 51.24201583862305))"
"('map', 0.9838670492172241, (1193.9488525390625, 255.5364532470703, 158.43069458007812, 177.91864013671875))","('dice', 0.9690035581588745, (655.59912109375, 135.6161346435547, 59.90691375732422, 122.84273529052734))","('key', 0.6912824511528015, (907.8150024414062, 173.49246215820312, 89.4263916015625, 49.972572326660156))"
"('dice', 0.9934813976287842, (656.4861450195312, 147.94532775878906, 61.899166107177734, 119.39801788330078))","('map', 0.9855249524116516, (1194.03369140625, 259.67376708984375, 159.05076599121094, 183.52157592773438))","('key', 0.7425636649131775, (907.8002319335938, 178.94921875, 85.65478515625, 51.1108283996582))"
"('dice', 0.9914910793304443, (657.265869140625, 156.16195678710938, 60.02403259277344, 117.61868286132812))","('map', 0.9871374368667603, (1193.5518798828125, 264.66748046875, 157.81301879882812, 181.42776489257812))","('key', 0.4827467203140259, (905.67578125, 184.8460235595703, 84.26509094238281, 49.94512939453125))"
"('map', 0.9908425807952881, (1194.5321044921875, 269.0218811035156, 155.06320190429688, 185.18687438964844))","('dice', 0.9759179353713989, (656.74951171875, 163.29345703125, 58.80561065673828, 117.43218231201172))","('key', 0.6115049719810486, (910.7861328125, 198.54273986816406, 89.21922302246094, 48.66621398925781))"
"('dice', 0.9884747266769409, (657.9784545898438, 174.00437927246094, 63.05841064453125, 123.05284881591797))","('map', 0.9802218675613403, (1196.044189453125, 272.1480712890625, 153.931640625, 191.71951293945312))","('key', 0.8192189931869507, (909.7933959960938, 205.90333557128906, 88.9473648071289, 49.143802642822266))"
"('map', 0.995043933391571, (1195.567626953125, 283.1562194824219, 150.36581420898438, 185.23208618164062))","('dice', 0.9923073649406433, (657.8449096679688, 181.5687713623047, 59.41169738769531, 121.26346588134766))","('key', 0.6746907830238342, (907.89794921875, 210.59889221191406, 86.93464660644531, 51.549434661865234))","('face', 0.572578489780426, (602.6959228515625, 425.6026306152344, 98.52896118164062, 127.9859619140625))"
"('map', 0.9929576516151428, (1195.392333984375, 286.82183837890625, 150.58624267578125, 186.4571533203125))","('dice', 0.9905874729156494, (656.475341796875, 189.3275146484375, 58.57634735107422, 124.38182830810547))","('face', 0.3820250332355499, (598.9969482421875, 426.68121337890625, 100.06224060058594, 131.95199584960938))","('key', 0.2640436589717865, (907.6315307617188, 215.15049743652344, 85.84319305419922, 51.423736572265625))"
"('map', 0.9935548305511475, (1195.0472412109375, 293.0826110839844, 154.76065063476562, 180.1477813720703))","('dice', 0.9869096279144287, (657.6675415039062, 198.0216827392578, 66.34329223632812, 121.02684783935547))","('key', 0.5574477314949036, (907.4840087890625, 227.8538055419922, 88.7846450805664, 50.744041442871094))"
"('dice', 0.9946119785308838, (654.677978515625, 205.95745849609375, 65.44242858886719, 118.42548370361328))","('map', 0.9918352365493774, (1194.68701171875, 299.81231689453125, 156.27938842773438, 190.36691284179688))","('key', 0.7159573435783386, (905.9381713867188, 234.3388671875, 91.72605895996094, 52.88151931762695))","('face', 0.3674314022064209, (572.13525390625, 437.6051025390625, 102.14794921875, 119.79218292236328))"
"('map', 0.9929639101028442, (1191.8895263671875, 306.8815612792969, 163.1807098388672, 189.07000732421875))","('dice', 0.984783947467804, (653.031494140625, 214.84629821777344, 63.398014068603516, 116.13491821289062))","('face', 0.5456829071044922, (566.2593383789062, 448.6266784667969, 97.70254516601562, 125.90946960449219))","('key', 0.5261907577514648, (903.441162109375, 239.58460998535156, 92.72802734375, 51.75750732421875))"
