"('dice', 0.9479468464851379, (681.1796875, 60.52998352050781, 92.58198547363281, 139.131103515625))","('face', 0.8260533213615417, (25.94293975830078, 352.8569030761719, 53.36042022705078, 177.6041717529297))","('face', 0.7844319343566895, (1100.66162109375, 98.92230224609375, 72.43816375732422, 97.63140106201172))"
"('face', 0.9311334490776062, (1112.344970703125, 97.68569946289062, 80.14259338378906, 102.7455062866211))","('dice', 0.8914089202880859, (680.9400634765625, 59.206180572509766, 93.4791259765625, 136.50669860839844))","('face', 0.8282738924026489, (25.697887420654297, 352.9496765136719, 52.20073699951172, 186.76483154296875))"
"('face', 0.8969650864601135, (1111.0316162109375, 94.40290832519531, 90.64732360839844, 94.43791961669922))","('face', 0.8928682208061218, (26.52482032775879, 353.9354553222656, 53.7789306640625, 176.91175842285156))","('dice', 0.8883453607559204, (681.5094604492188, 58.714229583740234, 94.40800476074219, 136.9740753173828))"
"('face', 0.9015019536018372, (26.73672866821289, 353.4064636230469, 54.14781951904297, 180.40101623535156))","('face', 0.8879473805427551, (1110.1219482421875, 92.5272445678711, 92.64982604980469, 96.94261169433594))","('dice', 0.8553356528282166, (681.9744262695312, 58.67156219482422, 93.45630645751953, 137.74537658691406))"
"('face', 0.9038901925086975, (1110.478515625, 92.91079711914062, 92.67243957519531, 96.58234405517578))","('face', 0.883545994758606, (27.02274513244629, 354.71856689453125, 54.652503967285156, 177.86451721191406))","('dice', 0.8610413074493408, (681.4008178710938, 59.08243942260742, 94.87010955810547, 136.64007568359375))"
"('face', 0.9010933041572571, (1109.9537353515625, 92.43930053710938, 93.0805892944336, 97.02251434326172))","('dice', 0.8898863196372986, (680.5072631835938, 59.50844955444336, 94.66188049316406, 135.9081268310547))","('face', 0.8700533509254456, (26.691986083984375, 355.0005798339844, 55.02738571166992, 178.6478729248047))"
"('dice', 0.9350943565368652, (678.598876953125, 59.132789611816406, 96.28178405761719, 138.14952087402344))","('face', 0.9245573282241821, (1109.263916015625, 90.81261444091797, 93.14879608154297, 97.5748062133789))","('face', 0.8683251142501831, (27.26802635192871, 369.9300842285156, 52.790279388427734, 188.50558471679688))"
"('dice', 0.9321919679641724, (677.485107421875, 58.83625411987305, 93.82209014892578, 137.5437469482422))","('face', 0.9245323538780212, (1109.356689453125, 89.39529418945312, 94.60411834716797, 97.4408950805664))","('face', 0.8514009714126587, (27.113483428955078, 370.2715759277344, 52.20073699951172, 188.13775634765625))"
"('dice', 0.9281331896781921, (677.0518798828125, 58.75159454345703, 92.74034118652344, 138.52102661132812))","('face', 0.9189116358757019, (1108.8505859375, 88.48078918457031, 95.87130737304688, 96.13243103027344))","('face', 0.8453280925750732, (26.166034698486328, 354.0411682128906, 52.40504455566406, 182.0824737548828))"
"('dice', 0.9369649887084961, (676.3495483398438, 59.49476623535156, 93.73050689697266, 139.81211853027344))","('face', 0.9223985075950623, (1108.4095458984375, 87.89522552490234, 95.43927001953125, 95.30867004394531))","('face', 0.7974411249160767, (25.93844985961914, 353.0008850097656, 52.50749588012695, 176.05003356933594))"
"('dice', 0.9509469866752625, (675.3897094726562, 59.11383819580078, 93.31951141357422, 139.5052490234375))","('face', 0.9278355240821838, (1108.0054931640625, 88.32951354980469, 94.69654846191406, 96.95738983154297))","('face', 0.8097179532051086, (25.924964904785156, 352.3623352050781, 50.89200973510742, 176.5665740966797))"
"('dice', 0.9494703412055969, (674.7793579101562, 59.453914642333984, 92.27734375, 137.6781463623047))","('face', 0.9446122050285339, (1107.466796875, 88.33367919921875, 93.9596176147461, 96.945556640625))","('face', 0.7626193165779114, (25.42410659790039, 352.9804382324219, 49.27808380126953, 178.82241821289062))"
